example_id                                 | status | run_time        |
------------------------------------------ | ------ | --------------- |
./spec/features/calculations_spec.rb[1:1]  | passed | 0.36927 seconds |
./spec/features/calculations_spec.rb[2:1]  | passed | 0.02867 seconds |
./spec/features/calculations_spec.rb[3:1]  | passed | 0.01474 seconds |
./spec/features/calculations_spec.rb[4:1]  | passed | 0.01338 seconds |
./spec/features/calculations_spec.rb[5:1]  | passed | 0.03953 seconds |
./spec/features/calculations_spec.rb[6:1]  | passed | 0.0154 seconds  |
./spec/features/calculations_spec.rb[7:1]  | passed | 0.01442 seconds |
./spec/features/calculations_spec.rb[8:1]  | passed | 0.02958 seconds |
./spec/features/calculations_spec.rb[9:1]  | passed | 0.0121 seconds  |
./spec/features/calculations_spec.rb[10:1] | passed | 0.01068 seconds |
./spec/features/calculations_spec.rb[11:1] | passed | 0.00831 seconds |
./spec/features/calculations_spec.rb[12:1] | passed | 0.00817 seconds |
./spec/features/calculations_spec.rb[13:1] | passed | 0.00742 seconds |
./spec/features/calculations_spec.rb[14:1] | passed | 0.00759 seconds |
./spec/features/calculations_spec.rb[15:1] | passed | 0.0174 seconds  |
./spec/features/calculations_spec.rb[16:1] | passed | 0.00796 seconds |
./spec/features/calculations_spec.rb[17:1] | passed | 0.01801 seconds |
./spec/features/calculations_spec.rb[18:1] | passed | 0.01816 seconds |
./spec/features/calculations_spec.rb[19:1] | passed | 0.01046 seconds |
./spec/features/calculations_spec.rb[20:1] | passed | 0.00772 seconds |
./spec/features/calculations_spec.rb[21:1] | passed | 0.00754 seconds |
./spec/features/calculations_spec.rb[22:1] | passed | 0.00739 seconds |
./spec/features/calculations_spec.rb[23:1] | passed | 0.00726 seconds |
./spec/features/calculations_spec.rb[24:1] | passed | 0.01641 seconds |
./spec/features/calculations_spec.rb[25:1] | passed | 0.00758 seconds |
./spec/features/calculations_spec.rb[26:1] | passed | 0.01767 seconds |
./spec/features/calculations_spec.rb[27:1] | passed | 0.01841 seconds |
./spec/features/calculations_spec.rb[28:1] | passed | 0.00995 seconds |
./spec/features/calculations_spec.rb[29:1] | passed | 0.00784 seconds |
./spec/features/calculations_spec.rb[30:1] | passed | 0.0074 seconds  |
./spec/features/calculations_spec.rb[31:1] | passed | 0.00732 seconds |
./spec/features/calculations_spec.rb[32:1] | passed | 0.00748 seconds |
./spec/features/calculations_spec.rb[33:1] | passed | 0.00732 seconds |
./spec/features/calculations_spec.rb[34:1] | passed | 0.00722 seconds |
./spec/features/calculations_spec.rb[35:1] | passed | 0.01884 seconds |
./spec/features/calculations_spec.rb[36:1] | passed | 0.02567 seconds |
./spec/features/calculations_spec.rb[37:1] | passed | 0.02318 seconds |
./spec/features/calculations_spec.rb[38:1] | passed | 0.02264 seconds |
./spec/features/calculations_spec.rb[39:1] | passed | 0.022 seconds   |
./spec/features/calculations_spec.rb[40:1] | passed | 0.04148 seconds |
./spec/features/calculations_spec.rb[41:1] | passed | 0.0242 seconds  |
./spec/features/calculations_spec.rb[42:1] | passed | 0.01556 seconds |
./spec/features/calculations_spec.rb[43:1] | passed | 0.0097 seconds  |
./spec/features/calculations_spec.rb[44:1] | passed | 0.00912 seconds |
./spec/features/calculations_spec.rb[45:1] | passed | 0.00983 seconds |
./spec/features/calculations_spec.rb[46:1] | passed | 0.00849 seconds |
./spec/features/calculations_spec.rb[47:1] | passed | 0.00833 seconds |
./spec/features/calculations_spec.rb[48:1] | passed | 0.0242 seconds  |
./spec/features/calculations_spec.rb[49:1] | passed | 0.00877 seconds |
./spec/features/calculations_spec.rb[50:1] | passed | 0.08339 seconds |
